127.0.0.1 - - [20/Dec/2019:19:08:22 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:28 +0900] "GET /dstay/resources/images/4_jong/banner3m.png HTTP/1.1" 200 107350
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:28 +0900] "GET /dstay/resources/images/4_jong/banner4m.png HTTP/1.1" 200 121270
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:28 +0900] "GET /dstay/resources/images/4_jong/banner5m.png HTTP/1.1" 200 189521
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:28 +0900] "GET /dstay/resources/images/4_jong/banner6m.png HTTP/1.1" 200 120867
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:28 +0900] "GET /dstay/resources/images/4_jong/banner7m.png HTTP/1.1" 200 140424
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:28 +0900] "GET /dstay/resources/images/4_jong/banner8m.png HTTP/1.1" 200 118993
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:28 +0900] "GET /dstay/resources/images/4_jong/menuLeft.png HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:28 +0900] "GET /dstay/resources/images/4_jong/menuRight.png HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:29 +0900] "GET /dstay/resources/font/THE%EB%AA%85%ED%92%88%EA%B5%B4%EB%A6%BCB.ttf HTTP/1.1" 200 1127840
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:29 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:30 +0900] "GET /dstay/menuSortNew.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:30 +0900] "GET /dstay/bestMenuByPrice.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:32 +0900] "GET /dstay/main.do HTTP/1.1" 200 19460
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:32 +0900] "GET /dstay/resources/images/productImages/test1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:32 +0900] "GET /dstay/resources/images/productImages/testImage5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:32 +0900] "GET /dstay/resources/images/productImages/testImage6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:32 +0900] "GET /dstay/resources/images/productImages/testImage1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:32 +0900] "GET /dstay/resources/images/productImages/testImage2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:32 +0900] "GET /dstay/resources/images/productImages/testImage10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:32 +0900] "GET /dstay/menuSortNew.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:32 +0900] "GET /dstay/bestMenuByPrice.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:35 +0900] "GET /dstay/bestMenuByPrice.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:35 +0900] "GET /dstay/menuSortNew.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:36 +0900] "GET /dstay/home.do HTTP/1.1" 200 10957
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:36 +0900] "GET /dstay/menuSortNew.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:36 +0900] "GET /dstay/bestMenuByPrice.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:37 +0900] "GET /dstay/main.do HTTP/1.1" 200 19460
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:37 +0900] "GET /dstay/menuSortNew.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [20/Dec/2019:19:27:37 +0900] "GET /dstay/bestMenuByPrice.do HTTP/1.1" 200 2
